51300163387,aed,96,208
51300223325,ffa,249,11
51300292757,bgd,142,192
51300468131,gfa,172,159
51300478707,ced,226,120
51300499756,fgf,132,86
51300508756,afb,139,53
51300546871,afa,178,297
51300577425,egc,72,192
51300600419,ded,37,144
51300645878,ffg,119,167
51300650130,bde,193,31
51300666042,cae,125,7
51300697224,bbf,242,253
51300714711,dba,251,85
51300734787,agg,105,84
51300758483,gdf,108,67
51300761682,bgf,73,80
51300838415,def,119,46
51300866794,edb,283,287
51300947225,cea,13,124
51300952241,bbg,282,181
51301004942,bbd,4,216
51301036255,ceb,198,111
51301077776,dfg,235,143
51301127822,egc,245,178
51301129023,agg,77,92
51301145428,dbb,239,132
51301177840,gde,169,118
51301186219,gab,232,282
51301215311,ggf,217,269
51301242117,fed,27,112
51301272494,ggb,249,137
51301280162,eba,155,109
51301287101,aaf,45,251
51301299137,cee,191,234
51301426905,dcc,243,67
51301431081,ged,122,24
51301437209,fee,223,284
51301449510,ede,110,63
51301487496,efc,29,102
51301509946,efd,259,68
51301522379,gaa,117,112
51301531871,dbg,197,132
51301561445,geb,264,145
51301657106,bbg,188,153
51301665926,fgg,16,182
51301682806,gga,170,232
51301686959,fbd,56,202
51301691295,ede,207,61
51301693061,ebd,57,63
51301700782,fde,218,19
51301701608,fag,208,31
51301706790,daf,226,221
51301717766,cca,56,149
51301775552,fgb,32,12
51301811896,agc,167,100
51301869997,dbb,224,105
51301876414,dac,113,147
51301887109,adc,143,266
51301894575,dfd,173,78
51301911739,acg,113,14
51301939157,aea,280,97
51301969415,fce,155,39
51301975395,aga,61,293
51302007525,ffg,203,135
51302032273,beb,19,158
51302039372,ffe,11,56
51302053821,gbf,26,22
51302074649,bdf,148,115
51302076200,fge,59,201
51302084545,afb,275,43
51302100149,dff,164,299
51302106942,fbg,157,248
51302132963,dfg,242,158
51302159162,edb,21,318
51302197858,bef,140,129
51302210870,bad,257,38
51302215234,eba,292,100
51302230541,age,98,46
51302235296,afb,135,45
51302288675,gaa,127,123
51302304765,bdc,244,99
51302318886,fac,130,38
51302364371,adf,95,31
51302369225,gaf,1,47
51302410354,abf,47,110
51302430540,cee,188,219
51302463000,bcg,57,216
51302478042,cdg,74,178
51302481119,bda,119,40
51302505518,cgg,276,246
51302510784,dac,201,119
51302591298,gfb,269,226
51302604813,bea,153,147
51302645537,efb,107,124
51302648722,gcg,120,261
51302666876,acb,70,143
51302679716,bcb,85,274
51302728820,aae,208,247
51302737442,ddd,209,189
51302744185,fae,258,195
51302756948,gdb,164,72
51302765520,bde,55,30
51302784262,cfe,135,93
51302802950,ccd,41,163
51302814547,fde,2,19
51302825786,ded,57,156
51302856322,bgc,285,296
51302858842,bef,82,107
51302860830,baa,40,62
51302889541,fee,152,289
51302897880,cdg,259,190
51302916938,ebc,69,274
51302948725,dgf,114,231
51302966406,bgf,276,76
51302967984,fde,187,16
51302997423,abd,52,129
51303030575,bgg,197,87
51303047128,dcf,126,126
51303089695,aee,232,269
51303092192,gff,226,40
51303094977,bcf,82,272
51303105693,bae,4,257
51303113484,bcc,210,285
51303119664,gcf,283,46
51303129724,cef,115,180
51303145170,fga,178,241
51303170934,ccc,88,171
51303176422,fbb,39,49
51303199224,cdb,158,53
51303205330,ega,162,51
51303222778,ffb,20,12
51303271379,acc,159,125
51303278551,fgd,297,270
51303302017,efc,259,93
51303306490,gbg,20,86
51303325301,faf,223,223
51303363907,beg,188,28
51303410708,agf,89,111
51303425119,bce,22,255
51303434412,gbe,131,52
51303441292,bea,185,149
51303450084,bca,185,146
51303460821,dbf,144,92
51303471939,cbf,154,83
51303498683,fgf,40,68
51303521355,bef,225,103
51303545173,dbf,100,105
51303557637,abb,260,237
51303619299,bae,84,221
51303620861,fag,16,35
51303669570,gfc,279,74
51303683882,aed,168,247
51303722266,dfa,254,78
51303733735,daf,181,260
51303791175,edf,213,261
51303795687,dbf,168,111
51303824673,cgf,83,165
51303826573,adf,285,29
51303841175,fcb,79,68
51303849701,bca,157,173
51303901881,baa,98,60
51303913787,baf,203,199
51303931067,agb,179,148
51303938019,baf,147,218
51303938309,cda,261,256
51303941357,ede,242,52
51303945934,fec,164,63
51303952832,eed,153,10
51303976382,fdf,279,280
51303994625,ddc,131,248
51304004238,ddf,69,68
51304005841,bgd,206,201
51304010660,caa,173,228
51304051212,cgd,33,125
